Date,Round Steak,Ground Beef,Pork Chops,Chicken,Bacon,Milk,Cheese,Eggs,Bread,Macaroni,Flour,Apples,Bananas,Potatoes,Sugar
1/1/1996,3.003,1.35,4.255,0.941,2.138,2.546,3.107,1.155,0.86,0.871,0.262,0.877,0.463,0.385,0.405
2/1/1996,3.027009274,1.404860738,4.220590172,0.941246681,2.205921743,2.544370018,3.23127983,1.092446946,0.859137928,0.855132623,0.262347479,0.878163127,0.501664455,0.385510609,0.403534481
3/1/1996,2.970197919,1.369558061,4.137559408,0.929307397,2.193284982,2.528951212,3.13653697,1.133496053,0.848627977,0.859584441,0.27291557,0.89046175,0.53686676,0.390448553,0.404393144
4/1/1996,2.969435241,1.34244251,4.246441115,0.938916585,2.222862708,2.515344643,3.154839044,1.076730107,0.857616522,0.858607986,0.263729474,0.907189731,0.500689415,0.39063689,0.400551532
5/1/1996,2.968342154,1.31032239,4.075013225,0.942756594,2.329572407,2.515342147,3.189875052,1.014282911,0.863282909,0.842421066,0.27915132,0.914940805,0.508631587,0.389421059,0.412269744
6/1/1996,2.808243848,1.31011799,4.238093165,0.957850615,2.466861139,2.57174974,3.269357884,0.935091768,0.876710377,0.877699892,0.293885984,0.943997404,0.492778519,0.396795554,0.413617311
7/1/1996,2.826814723,1.332584904,4.201782135,0.95804181,2.505496174,2.610959624,3.181645023,1.02703659,0.876233713,0.869334235,0.303577034,0.961984369,0.490848582,0.402141007,0.417911242
8/1/1996,2.701691593,1.366564729,4.26376055,0.972608973,2.634886128,2.619167195,3.30392321,1.053168505,0.898926475,0.86159401,0.308484058,0.98046844,0.469603121,0.395920623,0.420481455
9/1/1996,2.870562629,1.328331125,4.156895049,0.982574347,2.743589801,2.60391969,3.429243073,1.123221172,0.865368659,0.863415231,0.300827931,0.982574347,0.447335041,0.366267773,0.416080191
10/1/1996,2.966557193,1.332181432,4.043185222,0.992091351,2.643957459,2.652702633,3.399929125,1.097033433,0.848281831,0.825933054,0.284703982,0.922129963,0.451833965,0.348835255,0.419768329
11/1/1996,2.914426002,1.358903184,4.007941109,0.971475334,2.572520924,2.659692191,3.536247701,1.103200803,0.85234127,0.821347042,0.285728039,0.87849265,0.462007711,0.332219381,0.41261066
12/1/1996,2.923391022,1.375713422,4.034395541,0.968023068,2.552412121,2.634529847,3.470198463,1.263646879,0.845329525,0.816346799,0.282098539,0.855956525,0.464689716,0.323640447,0.413486899
1/1/1997,2.873341967,1.359482482,4.024415495,0.980293969,2.570377099,2.58292023,3.411731765,1.107654996,0.831706103,0.843284378,0.298140587,0.875124635,0.479533565,0.32322685,0.41874762
2/1/1997,2.872377111,1.348869063,3.978102394,0.972575118,2.557833967,2.539501698,3.349016107,1.092217296,0.827846678,0.819162972,0.297175731,0.879948917,0.499795547,0.319367425,0.413923339
3/1/1997,2.870542764,1.307509569,3.965919512,0.972918256,2.561985933,2.537879931,3.388339695,1.018237541,0.824425282,0.840817363,0.294093229,0.881315447,0.512975731,0.318199231,0.415587481
4/1/1997,2.902362687,1.331615572,3.906136626,0.966168576,2.564878654,2.512809689,3.407624497,1.042343543,0.824425282,0.851424004,0.293128989,0.862994885,0.493690929,0.323020432,0.419444441
5/1/1997,2.839687081,1.332579812,3.873352463,0.970989776,2.533058731,2.514738169,3.401839057,0.966168576,0.823461041,0.830210722,0.29891443,0.879386967,0.466692206,0.325913152,0.418480201
