Date,Round Steak,Ground Beef,Pork Chops,Chicken,Bacon,Milk,Cheese,Eggs,Bread,Macaroni,Flour,Apples,Bananas,Potatoes,Sugar
1/1/1996,3.195674885,1.241103226,2.970019753,1.270969347,1.104689443,3.697417514,3.437922306,1.192479333,0.634194162,0.650417734,0.451310264,0.726742264,0.394896481,0.190258249,0.331845782
2/1/1996,3.285235602,1.236910995,2.978481675,1.256701571,1.11620128,3.702734148,3.456753927,1.19255381,0.640139616,0.646492147,0.453863874,0.745445026,0.422198953,0.185445026,0.329842932
3/1/1996,3.142249561,1.238963093,2.966203866,1.308717047,1.138693615,3.728763913,3.507627417,1.222905682,0.644639719,0.657680141,0.457054482,0.757328647,0.47831283,0.186748682,0.337144112
4/1/1996,3.317233667,1.258145968,3.013543261,1.314879341,1.147733961,3.746321366,3.537492643,1.221306651,0.637786933,0.674125956,0.463211301,0.747545615,0.447192466,0.190594467,0.342068864
5/1/1996,3.196699043,1.215739429,3.064193383,1.278679617,1.175783247,3.718688381,3.498149419,1.219601256,0.633082597,0.682404148,0.461119696,0.755282261,0.44389396,0.205383773,0.341202074
6/1/1996,3.204890906,1.205570362,3.304524821,1.321809928,1.270317762,3.728217894,3.453975692,1.23737004,0.639625128,0.684152877,0.480899692,0.780465661,0.42178357,0.255358032,0.343737004
7/1/1996,3.086480251,1.18226765,3.073233555,1.354474702,1.306855516,3.717602395,3.470634445,1.255749434,0.642710082,0.682204862,0.487478426,0.798113456,0.423894283,0.295106958,0.339446594
8/1/1996,3.097385221,1.176808045,3.193248798,1.361923918,1.333624836,3.710829325,3.451088763,1.224311325,0.641539134,0.674350678,0.495846087,0.879300394,0.406593791,0.238740708,0.338828159
9/1/1996,3.087156419,1.189151453,3.113655616,1.437581423,1.467796115,3.746166204,3.48464437,1.270629473,0.65757266,0.675729517,0.499509858,0.871161092,0.357739156,0.190646999,0.347801957
10/1/1996,3.200183595,1.218957655,3.149813444,1.45737637,1.469499556,3.854012437,3.572922712,1.302931596,0.686526503,0.671602014,0.509074326,0.789132366,0.399603198,0.175362748,0.352591057
11/1/1996,3.111910918,1.261035797,3.179708542,1.464428668,1.416187131,3.890591137,3.701750243,1.292877961,0.688020327,0.684755997,0.513905986,0.742383977,0.427125028,0.175520514,0.357632464
12/1/1996,3.216690647,1.232065776,3.130113052,1.425200411,1.332403465,3.821758919,3.702857143,1.3140508,0.675847893,0.63934224,0.504813977,0.735909558,0.422898253,0.170935252,0.34631038
1/1/1997,3.260649177,1.237029791,3.270733659,1.431996443,1.345042241,3.886171632,3.737981325,1.319104787,0.677278791,0.652129835,0.519014673,0.759697643,0.433632726,0.171062695,0.346233882
2/1/1997,3.195544408,1.231372086,3.121929773,1.412062555,1.346267335,3.868397757,3.694116258,1.298318088,0.679138389,0.649147241,0.497902626,0.752876955,0.448380053,0.170280319,0.351342579
3/1/1997,3.050439344,1.212904918,3.123147541,1.364931148,1.326047359,3.84845173,3.66184918,1.267759563,0.665879781,0.660983607,0.487805902,0.720472131,0.449468852,0.168918033,0.348668852
